iteration,annealingParameter,logNormalization
3,6.159935164803315E-4,-1.832796621222411
7,0.004761784994702809,-6.550379094718089
11,0.033521855544670826,-32.30579986553069
0,0.13793103448275862,-121.4546252408219
0,0.4482758620689655,-383.0097405435157
0,0.7931034482758621,-669.6128033261356
