round,isAdapt,beta,value
0,true,0.01,31.375825000000003
0,true,0.02,30.0933
0,true,0.03,25.152425000000008
0,true,0.04,16.352640025974576
0,true,0.05,11.523816643082107
0,true,0.06,13.080009061559792
0,true,0.07,20.779983746471675
0,true,0.08,26.56882697332164
0,true,0.09,27.495295871773067
0,true,0.1,23.55939044182592
0,true,0.11,17.76685642444302
0,true,0.12,15.330159355857077
0,true,0.13,16.049877758994427
0,true,0.14,19.563510708164245
0,true,0.15,21.66856472010963
0,true,0.16,21.667930301671504
0,true,0.17,19.561607452849834
0,true,0.18,17.4654550663723
0,true,0.19,16.27931356727302
0,true,0.2,15.651470820514561
0,true,0.21,14.326160111959354
0,true,0.22,12.58920399244596
0,true,0.23,14.18943123099632
0,true,0.24,19.126841827610534
0,true,0.25,24.868428013125822
0,true,0.26,27.407433972221384
0,true,0.27,26.694734848599154
0,true,0.28,25.307285314673123
0,true,0.29,25.254474213850216
0,true,0.3,23.27357140431525
0,true,0.31,19.364576886068097
0,true,0.32,13.033215124435259
0,true,0.33,12.044722982432575
0,true,0.34,16.54462357923549
0,true,0.35,24.88601190517872
0,true,0.36,29.145435463845104
0,true,0.37,28.303972727311532
0,true,0.38,22.54059049344678
0,true,0.39,18.469680872009974
0,true,0.4,17.48768540412152
0,true,0.41,19.5946040897814
0,true,0.42,23.263356252748963
0,true,0.43,24.60607772427562
0,true,0.44,23.507069204282743
0,true,0.45,20.408649041235208
0,true,0.46,18.671994793172416
0,true,0.47,17.36012038784503
0,true,0.48,16.473025825252478
0,true,0.49,14.865659110701358
0,true,0.5,13.909004538537772
0,true,0.51,14.145215205789611
0,true,0.52,14.849794875332606
0,true,0.53,14.772328474007054
0,true,0.54,15.773124504141379
0,true,0.55,17.852182965736148
0,true,0.56,19.620304693983485
0,true,0.57,21.18333783061945
0,true,0.58,22.736931459783932
0,true,0.59,25.31806143771584
0,true,0.6,27.63777448129281
0,true,0.61,27.122219853160118
0,true,0.62,23.771397553317748
0,true,0.63,21.15676812136627
0,true,0.64,19.757555712965086
0,true,0.65,19.444426697790448
0,true,0.66,18.591621361773775
0,true,0.67,17.794066656109862
0,true,0.68,19.041689609098
0,true,0.69,22.366298816674263
0,true,0.7,26.057383015659582
0,true,0.71,26.826247723264828
0,true,0.72,24.672892939490396
0,true,0.73,22.17613474144838
0,true,0.74,20.724915923267076
0,true,0.75,19.05909175356902
0,true,0.76,16.885491591626078
0,true,0.77,14.044035772093935
0,true,0.78,13.411787919584299
0,true,0.79,14.988748034096147
0,true,0.8,16.510954736610245
0,true,0.81,17.337897030264685
0,true,0.82,18.142006356069714
0,true,0.83,18.79628849797507
0,true,0.84,19.377717548566466
0,true,0.85,20.49875985969311
0,true,0.86,22.159415431355228
0,true,0.87,25.60019468832661
0,true,0.88,26.564355211299812
0,true,0.89,24.3429190378439
0,true,0.9,19.430026002563807
0,true,0.91,16.324249117168733
0,true,0.92,16.061673876697228
0,true,0.93,18.642300281149602
0,true,0.94,21.247052529173402
0,true,0.95,21.78253645398206
0,true,0.96,20.323819560416553
0,true,0.97,17.6427147816147
0,true,0.98,16.157654393439202
0,true,0.99,15.772170633104452
1,true,0.01,48.07036265415857
1,true,0.02,36.63217428993385
1,true,0.03,23.043083358444928
1,true,0.04,16.04052093874096
1,true,0.05,13.496033593675868
1,true,0.06,15.409621323249613
1,true,0.07,15.110593214683902
1,true,0.08,14.527126682848902
1,true,0.09,15.297596121909933
1,true,0.1,16.071323242076694
1,true,0.11,16.29298866862115
1,true,0.12,16.081645762128403
1,true,0.13,15.606795774763341
1,true,0.14,15.400931898411642
1,true,0.15,15.116877343611321
1,true,0.16,14.75463211036233
1,true,0.17,14.433680611637882
1,true,0.18,14.14181465617547
1,true,0.19,13.852941963972782
1,true,0.2,13.567062535029777
1,true,0.21,11.84395175654987
1,true,0.22,11.346569616785871
1,true,0.23,12.463469478671328
1,true,0.24,15.19465134220627
1,true,0.25,20.644897505744822
1,true,0.26,24.487043533593464
1,true,0.27,22.183901501911166
1,true,0.28,19.276162517321552
1,true,0.29,17.75378562602674
1,true,0.3,16.409922720750302
1,true,0.31,13.948420764236346
1,true,0.32,13.046730573089462
1,true,0.33,13.809393815160632
1,true,0.34,16.23641049044997
1,true,0.35,20.88013035027285
1,true,0.36,22.24909287401522
1,true,0.37,18.677432952171557
1,true,0.38,15.888375524211028
1,true,0.39,15.614701027524006
1,true,0.4,17.85640946211045
1,true,0.41,21.0827577109483
1,true,0.42,22.229029490935545
1,true,0.43,21.24069746258121
1,true,0.44,20.291271050130604
1,true,0.45,19.65485313546401
1,true,0.46,17.980913589753925
1,true,0.47,15.230686830223988
1,true,0.48,12.79628718278235
1,true,0.49,11.739267352551792
1,true,0.5,12.059627339532597
1,true,0.51,13.757367143724693
1,true,0.52,15.912101411425397
1,true,0.53,16.963705688451398
1,true,0.54,16.95097751984906
1,true,0.55,15.873916905618756
1,true,0.56,13.89160397786739
1,true,0.57,12.569004188720214
1,true,0.58,12.283124679735351
1,true,0.59,12.836919948781556
1,true,0.6,12.728663512357798
1,true,0.61,13.28068651212692
1,true,0.62,14.2167290573625
1,true,0.63,14.722560733637977
1,true,0.64,14.775867856468494
1,true,0.65,14.189190265463765
1,true,0.66,13.76802388772154
1,true,0.67,14.400245312800337
1,true,0.68,16.08585454070021
1,true,0.69,19.312711158844024
1,true,0.7,20.449250210898867
1,true,0.71,18.397594837291678
1,true,0.72,16.821152646793735
1,true,0.73,15.549529442484754
1,true,0.74,13.997966133171872
1,true,0.75,11.555814692928607
1,true,0.76,10.346773671449398
1,true,0.77,10.688623532762051
1,true,0.78,12.58136427686648
1,true,0.79,15.996197240503363
1,true,0.8,18.022811520961852
1,true,0.81,17.783870307478253
1,true,0.82,15.279373600052423
1,true,0.83,10.709810420828148
1,true,0.84,7.717691075598964
1,true,0.85,7.532505747451637
1,true,0.86,10.154254436385834
1,true,0.87,12.483456601513694
1,true,0.88,12.739603009814687
1,true,0.89,11.207017659193653
1,true,0.9,10.29355908545233
1,true,0.91,10.321136204680101
1,true,0.92,11.289749016876272
1,true,0.93,12.499752605821072
1,true,0.94,13.32059872177399
1,true,0.95,14.41605231813412
1,true,0.96,15.821260865092839
1,true,0.97,17.342957342247644
1,true,0.98,18.15299691836958
1,true,0.99,18.25137959345824
2,true,0.01,71.62605496848644
2,true,0.02,21.041918871067622
2,true,0.03,18.506818275056872
2,true,0.04,13.23516602027972
2,true,0.05,12.928315609657133
2,true,0.06,16.81335169554925
2,true,0.07,17.81476831501982
2,true,0.08,18.788843656186117
2,true,0.09,19.73557771904816
2,true,0.1,22.928426619470216
2,true,0.11,24.659304218432297
2,true,0.12,21.396584537003633
2,true,0.13,13.187863622508768
2,true,0.14,5.774920704628229
2,true,0.15,3.0038278687856916
2,true,0.16,4.874585114981187
2,true,0.17,8.884753034245087
2,true,0.18,10.31618347956963
2,true,0.19,10.896202101347484
2,true,0.2,10.624808899578852
2,true,0.21,9.723255344084379
2,true,0.22,9.39007829966964
2,true,0.23,9.800387465142762
2,true,0.24,10.95418284050379
2,true,0.25,13.110474078203922
2,true,0.26,14.998741314219217
2,true,0.27,14.863307848235777
2,true,0.28,15.022928313092393
2,true,0.29,15.019261707845203
2,true,0.3,14.585201974690492
2,true,0.31,14.23087609543009
2,true,0.32,14.02085458127641
2,true,0.33,13.90759141821215
2,true,0.34,13.891086606237224
2,true,0.35,13.9500685845872
2,true,0.36,13.56505011879699
2,true,0.37,12.222020999514456
2,true,0.38,10.967038125526642
2,true,0.39,12.198464548773188
2,true,0.4,15.916300269254515
2,true,0.41,21.293914965569684
2,true,0.42,20.472428586086494
2,true,0.43,15.164141939314192
2,true,0.44,12.571359370364178
2,true,0.45,11.997121797668285
2,true,0.46,11.183558185593313
2,true,0.47,10.57636909814022
2,true,0.48,11.335017741537314
2,true,0.49,13.459504115784712
2,true,0.5,16.41766946199496
2,true,0.51,17.19935622677167
2,true,0.52,15.753851121323066
2,true,0.53,12.094401093983361
2,true,0.54,8.835165664606393
2,true,0.55,7.4898246514839
2,true,0.56,8.058378054615787
2,true,0.57,8.727813528826744
2,true,0.58,8.668896127072799
2,true,0.59,9.106996148936844
2,true,0.6,10.042113594419192
2,true,0.61,11.74266439329756
2,true,0.62,13.810715166711304
2,true,0.63,14.07718876263499
2,true,0.64,12.542085181068444
2,true,0.65,9.116050500785988
2,true,0.66,6.680644853012836
2,true,0.67,6.867465823781913
2,true,0.68,9.676513413092835
2,true,0.69,15.21557283897539
2,true,0.7,17.161434439294567
2,true,0.71,13.693150470631252
2,true,0.72,9.187580517866593
2,true,0.73,7.249715574455308
2,true,0.74,7.244280791261929
2,true,0.75,8.7977124657044
2,true,0.76,8.37327789724236
2,true,0.77,8.735956643173779
2,true,0.78,9.885748703498507
2,true,0.79,11.822654078216658
2,true,0.8,15.37108527335704
2,true,0.81,17.460219958112646
2,true,0.82,16.727440726613793
2,true,0.83,14.12414021930914
2,true,0.84,13.257089075974818
2,true,0.85,12.578241119037045
2,true,0.86,12.087596348495651
2,true,0.87,11.785154764350636
2,true,0.88,11.670916366601901
2,true,0.89,11.281192792943699
2,true,0.9,10.880524470310206
2,true,0.91,10.59621365203509
2,true,0.92,10.428260338118093
2,true,0.93,10.376664528559388
2,true,0.94,9.846126199723756
2,true,0.95,9.66311388754491
2,true,0.96,9.99616740877957
