round,count,rate
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,2,0.0032
9,5,0.003996802557953637
10,17,0.006797281087564974
11,35,0.007
