round,value
0,20.11857386057455
1,15.985301870013995
2,13.568626006004127
3,12.614268497254313
4,12.659227437230777
5,12.259991016361903
6,12.370948271798675
7,12.02852352590135
8,12.043562511876829
9,12.002069506087267
10,11.892762319015057
11,12.030263481038656
