round,value
0,-406.46863836050386
1,-505.45439574200714
2,-471.48183691388664
3,-464.39207549873123
4,-471.70273040785054
5,-470.3348208418524
6,-474.18236881990543
7,-475.3801553361004
8,-475.38721459973607
9,-475.68011679616046
10,-475.2708024547945
11,-475.80559259419215
