"","beta","nChains","meanRate"
"404",0.68,40,2.9800572426479
"405",0.68,80,2.9772902201906
"406",0.68,160,3.01413167398014
"407",0.68,320,2.99164519314534
"408",0.68,640,3.03304447705063
"409",0.69,20,2.98417798377864
"410",0.69,40,2.9996824903879
"411",0.69,80,3.00039642529696
"412",0.69,160,3.00674073939914
"413",0.69,320,3.02057346524185
"414",0.69,640,3.03647725030841
"415",0.7,20,3.00755502573495
"416",0.7,40,3.02070589790462
"417",0.7,80,3.02167158850274
"418",0.7,160,3.02551191067205
"419",0.7,320,3.04522863515724
"420",0.7,640,3.09524697957952
"421",0.71,20,3.02318613239092
"422",0.71,40,3.03066880693657
"423",0.71,80,3.02542127608994
"424",0.71,160,3.05334564196576
"425",0.71,320,3.04388022853367
"426",0.71,640,3.10875362410444
"427",0.72,20,3.03107130374656
"428",0.72,40,3.0404393313728
"429",0.72,80,3.03512191180353
"430",0.72,160,3.0608964852684
"431",0.72,320,3.07305706599379
"432",0.72,640,3.0857881571866
"433",0.73,20,3.04618234600131
"434",0.73,40,3.0441477850543
"435",0.73,80,3.04925956417014
"436",0.73,160,3.06421626548564
"437",0.73,320,3.05808828464839
"438",0.73,640,3.1300882382311
"439",0.74,20,3.06142838984129
"440",0.74,40,3.04839567711286
"441",0.74,80,3.05895041233079
"442",0.74,160,3.07646407711383
"443",0.74,320,3.0814014014063
"444",0.74,640,3.10817293704646
"445",0.75,20,3.05905777622042
"446",0.75,40,3.03816462403232
"447",0.75,80,3.05211146857616
"448",0.75,160,3.07018270513847
"449",0.75,320,3.07584973233232
"450",0.75,640,3.11416557618297
"451",0.76,20,3.03907050513869
"452",0.76,40,3.02320463345683
"453",0.76,80,3.03777398472399
"454",0.76,160,3.05000257177146
"455",0.76,320,3.06618110445083
"456",0.76,640,3.09688766972334
"457",0.77,20,3.02070406075154
"458",0.77,40,3.01293572905117
"459",0.77,80,3.04800097752717
"460",0.77,160,3.04222475539904
"461",0.77,320,3.08710601612291
"462",0.77,640,3.0753232187016
"463",0.78,20,3.01004045704017
"464",0.78,40,3.01466642596256
"465",0.78,80,3.00889624929642
"466",0.78,160,3.02924338862761
"467",0.78,320,3.05071230799771
"468",0.78,640,3.06591143495769
"469",0.79,20,2.9909452802648
"470",0.79,40,3.00219954646219
"471",0.79,80,3.00666255994108
"472",0.79,160,3.01700901347677
"473",0.79,320,3.03358274109209
"474",0.79,640,3.0857202359211
"475",0.8,20,2.96341853042541
"476",0.8,40,2.98589570229493
"477",0.8,80,2.96988431132332
"478",0.8,160,3.00362672401585
"479",0.8,320,3.00499672124555
"480",0.8,640,3.05322211039041
"481",0.81,20,2.93931513570425
"482",0.81,40,2.95366946103161
"483",0.81,80,2.9633059661073
"484",0.81,160,2.96627615896962
"485",0.81,320,2.9931082930821
"486",0.81,640,3.03275864615644
"487",0.82,20,2.92165927633712
"488",0.82,40,2.929985559037
"489",0.82,80,2.92714581569758
"490",0.82,160,2.94343533146377
"491",0.82,320,2.97624784159428
"492",0.82,640,3.00263425555048
"493",0.83,20,2.89173517186438
"494",0.83,40,2.88902900000322
"495",0.83,80,2.90725939085172
"496",0.83,160,2.90248595612553
"497",0.83,320,2.92518371028266
"498",0.83,640,2.95227416273102
"499",0.84,20,2.84954282228604
"500",0.84,40,2.85079659435757
"501",0.84,80,2.8474062895271
"502",0.84,160,2.86958911257009
"503",0.84,320,2.89222944831747
"504",0.84,640,2.91314284694571
"505",0.85,20,2.8007284141637
"506",0.85,40,2.79870511327517
"507",0.85,80,2.8238110680782
"508",0.85,160,2.82564300363601
"509",0.85,320,2.83790290513793
"510",0.85,640,2.86721509289857
"511",0.86,20,2.76796723385321
"512",0.86,40,2.74464571770035
"513",0.86,80,2.77819221454174
"514",0.86,160,2.79501147162313
"515",0.86,320,2.80518853669154
"516",0.86,640,2.84663277351137
"517",0.87,20,2.72739797025684
"518",0.87,40,2.70139484420054
"519",0.87,80,2.72929905924938
"520",0.87,160,2.76142051709791
"521",0.87,320,2.75001181956891
"522",0.87,640,2.78174494185551
"523",0.88,20,2.67875303038055
"524",0.88,40,2.66476231068975
"525",0.88,80,2.68872636241406
"526",0.88,160,2.69894105706548
"527",0.88,320,2.69576867841185
"528",0.88,640,2.73066212392707
"529",0.89,20,2.62203241422432
"530",0.89,40,2.6196424868361
"531",0.89,80,2.64691616308037
"532",0.89,160,2.65641428154481
"533",0.89,320,2.67024498625047
"534",0.89,640,2.70217377424855
"535",0.9,20,2.57635123943673
"536",0.9,40,2.57310194474873
"537",0.9,80,2.58978004071154
"538",0.9,160,2.59429439866687
"539",0.9,320,2.60914963569676
"540",0.9,640,2.62706545762674
"541",0.91,20,2.53445197446224
"542",0.91,40,2.52482819678894
"543",0.91,80,2.54659036206757
"544",0.91,160,2.53482368036478
"545",0.91,320,2.55348775801449
"546",0.91,640,2.5693212054848
"547",0.92,20,2.48486063201593
"548",0.92,40,2.45653010898173
"549",0.92,80,2.49646983982326
"550",0.92,160,2.47948026787639
"551",0.92,320,2.52328555447183
"552",0.92,640,2.52300494821918
"553",0.93,20,2.42757721209786
"554",0.93,40,2.39338810278417
"555",0.93,80,2.43411765395537
"556",0.93,160,2.44132545135908
"557",0.93,320,2.45767110590362
"558",0.93,640,2.48456767398262
"559",0.94,20,2.36260171470799
"560",0.94,40,2.34274579436733
"561",0.94,80,2.3807016412706
"562",0.94,160,2.37342961315152
"563",0.94,320,2.3892610144865
"564",0.94,640,2.43176771518123
"565",0.95,20,2.27609151244089
"566",0.95,40,2.30434551012483
"567",0.95,80,2.32881478153627
"568",0.95,160,2.31357100927067
"569",0.95,320,2.33348783818049
"570",0.95,640,2.36360643424255
"571",0.96,20,2.20323922526681
"572",0.96,40,2.2561483954906
"573",0.96,80,2.26563455120362
"574",0.96,160,2.2560928845084
"575",0.96,320,2.27409194793157
"576",0.96,640,2.31968233451651
"577",0.97,20,2.1581749221517
"578",0.97,40,2.19065344133809
"579",0.97,80,2.20152260593452
"580",0.97,160,2.21596399350042
"581",0.97,320,2.22410550960099
"582",0.97,640,2.23793001765059
"583",0.98,20,2.14089860309559
"584",0.98,40,2.10341906577075
"585",0.98,80,2.13548165945144
"586",0.98,160,2.16119840057061
"587",0.98,320,2.17760045602479
"588",0.98,640,2.19529775193214
"589",0.99,20,2.15141026809845
"590",0.99,40,2.06964637562302
"591",0.99,80,2.07160651228403
"592",0.99,160,2.08943201541221
"593",0.99,320,2.1115068306673
"594",0.99,640,2.12830010101175
