"","round","count","rate","nPassesPerScan"
"1",11,170,0.034,1
"2",11,179,0.0358,16
"3",11,169,0.0338,2
"4",11,164,0.0328,8
"5",11,164,0.0328,4
"6",11,165,0.033,0.5
"7",11,3,6e-04,0
"8",11,3,6e-04,0.25
