"","round","count","rate","nPassesPerScan"
"1",11,694,0.1388,16
"2",11,513,0.1026,0.5
"3",11,640,0.128,2
"4",11,708,0.1416,8
"5",11,192,0.0384,0
"6",11,661,0.1322,4
"7",11,592,0.1184,1
"8",11,435,0.087,0.25
